"","Driver","Track","Name","Pts"
"391","Chris Buescher","Dover International Speedway","Wurth 400",20
"392","Daniel Suarez","Dover International Speedway","Wurth 400",19
"393","Chase Briscoe","Dover International Speedway","Wurth 400",18
"394","John Hunter Nemechek","Dover International Speedway","Wurth 400",17
"395","Corey LaJoie","Dover International Speedway","Wurth 400",16
"396","Carson Hocevar","Dover International Speedway","Wurth 400",15
"397","Justin Haley","Dover International Speedway","Wurth 400",14
"398","Zane Smith","Dover International Speedway","Wurth 400",13
"399","Corey Heim","Dover International Speedway","Wurth 400",0
"400","Harrison Burton","Dover International Speedway","Wurth 400",11
"401","Austin Dillon","Dover International Speedway","Wurth 400",10
"402","Jimmie Johnson","Dover International Speedway","Wurth 400",9
"403","Kaz Grala","Dover International Speedway","Wurth 400",8
"404","Brad Keselowski","Dover International Speedway","Wurth 400",7
"405","Todd Gilliland","Dover International Speedway","Wurth 400",6
"406","Bubba Wallace","Dover International Speedway","Wurth 400",6
"407","William Byron","Dover International Speedway","Wurth 400",13
"408","Christopher Bell","Dover International Speedway","Wurth 400",3
"409","Ricky Stenhouse Jr.","Dover International Speedway","Wurth 400",5
"410","Michael McDowell","Dover International Speedway","Wurth 400",1
"411","Ryan Preece","Dover International Speedway","Wurth 400",1
"412","Kyle Larson","Kansas Speedway","AdventHealth 400",57
"413","Chris Buescher","Kansas Speedway","AdventHealth 400",51
"414","Chase Elliott","Kansas Speedway","AdventHealth 400",35
"415","Martin Truex Jr.","Kansas Speedway","AdventHealth 400",43
"416","Denny Hamlin","Kansas Speedway","AdventHealth 400",50
"417","Christopher Bell","Kansas Speedway","AdventHealth 400",38
"418","Alex Bowman","Kansas Speedway","AdventHealth 400",34
"419","Kyle Busch","Kansas Speedway","AdventHealth 400",39
"420","Noah Gragson","Kansas Speedway","AdventHealth 400",31
"421","Michael McDowell","Kansas Speedway","AdventHealth 400",27
"422","Brad Keselowski","Kansas Speedway","AdventHealth 400",26
"423","Ryan Blaney","Kansas Speedway","AdventHealth 400",25
"424","John Hunter Nemechek","Kansas Speedway","AdventHealth 400",24
"425","Todd Gilliland","Kansas Speedway","AdventHealth 400",23
"426","Josh Berry","Kansas Speedway","AdventHealth 400",22
"427","Ricky Stenhouse Jr.","Kansas Speedway","AdventHealth 400",21
"428","Bubba Wallace","Kansas Speedway","AdventHealth 400",20
"429","Justin Haley","Kansas Speedway","AdventHealth 400",19
"430","Ross Chastain","Kansas Speedway","AdventHealth 400",29
"431","Tyler Reddick","Kansas Speedway","AdventHealth 400",20
"432","Chase Briscoe","Kansas Speedway","AdventHealth 400",16
"433","Corey Heim","Kansas Speedway","AdventHealth 400",0
"434","William Byron","Kansas Speedway","AdventHealth 400",14
"435","Carson Hocevar","Kansas Speedway","AdventHealth 400",13
"436","Austin Dillon","Kansas Speedway","AdventHealth 400",12
"437","Corey LaJoie","Kansas Speedway","AdventHealth 400",11
"438","Daniel Suarez","Kansas Speedway","AdventHealth 400",10
"439","Ryan Preece","Kansas Speedway","AdventHealth 400",9
"440","Zane Smith","Kansas Speedway","AdventHealth 400",8
"441","Daniel Hemric","Kansas Speedway","AdventHealth 400",7
"442","Derek Kraus","Kansas Speedway","AdventHealth 400",6
"443","Ty Gibbs","Kansas Speedway","AdventHealth 400",15
"444","Austin Hill","Kansas Speedway","AdventHealth 400",0
"445","Joey Logano","Kansas Speedway","AdventHealth 400",3
"446","Riley Herbst","Kansas Speedway","AdventHealth 400",0
"447","Harrison Burton","Kansas Speedway","AdventHealth 400",1
"448","Austin Cindric","Kansas Speedway","AdventHealth 400",1
"449","Jimmie Johnson","Kansas Speedway","AdventHealth 400",1
"450","Brad Keselowski","Darlington Raceway","Goodyear 400",57
"451","Ty Gibbs","Darlington Raceway","Goodyear 400",52
"452","Josh Berry","Darlington Raceway","Goodyear 400",34
"453","Denny Hamlin","Darlington Raceway","Goodyear 400",36
"454","Chase Briscoe","Darlington Raceway","Goodyear 400",32
"455","William Byron","Darlington Raceway","Goodyear 400",38
"456","Bubba Wallace","Darlington Raceway","Goodyear 400",33
"457","Alex Bowman","Darlington Raceway","Goodyear 400",29
"458","Justin Haley","Darlington Raceway","Goodyear 400",28
"459","Michael McDowell","Darlington Raceway","Goodyear 400",27
"460","Ross Chastain","Darlington Raceway","Goodyear 400",27
"461","Chase Elliott","Darlington Raceway","Goodyear 400",25
"462","Christopher Bell","Darlington Raceway","Goodyear 400",24
"463","Noah Gragson","Darlington Raceway","Goodyear 400",23
"464","Todd Gilliland","Darlington Raceway","Goodyear 400",27
"465","Corey LaJoie","Darlington Raceway","Goodyear 400",21
"466","Ryan Preece","Darlington Raceway","Goodyear 400",20
"467","Kaz Grala","Darlington Raceway","Goodyear 400",19
"468","Erik Jones","Darlington Raceway","Goodyear 400",18
"469","Austin Cindric","Darlington Raceway","Goodyear 400",17
"470","Joey Logano","Darlington Raceway","Goodyear 400",23
"471","Harrison Burton","Darlington Raceway","Goodyear 400",15
"472","Ricky Stenhouse Jr.","Darlington Raceway","Goodyear 400",14
"473","Daniel Suarez","Darlington Raceway","Goodyear 400",13
"474","Martin Truex Jr.","Darlington Raceway","Goodyear 400",18
"475","Carson Hocevar","Darlington Raceway","Goodyear 400",11
"476","Kyle Busch","Darlington Raceway","Goodyear 400",10
"477","Austin Dillon","Darlington Raceway","Goodyear 400",9
"478","Derek Kraus","Darlington Raceway","Goodyear 400",8
"479","Chris Buescher","Darlington Raceway","Goodyear 400",15
"480","John Hunter Nemechek","Darlington Raceway","Goodyear 400",6
"481","Tyler Reddick","Darlington Raceway","Goodyear 400",22
"482","Daniel Hemric","Darlington Raceway","Goodyear 400",4
"483","Kyle Larson","Darlington Raceway","Goodyear 400",19
"484","Zane Smith","Darlington Raceway","Goodyear 400",2
"485","Ryan Blaney","Darlington Raceway","Goodyear 400",4
"486","Christopher Bell","Charlotte Motor Speedway","Coca-Cola 600",67
"487","Brad Keselowski","Charlotte Motor Speedway","Coca-Cola 600",53
"488","William Byron","Charlotte Motor Speedway","Coca-Cola 600",61
"489","Tyler Reddick","Charlotte Motor Speedway","Coca-Cola 600",41
"490","Denny Hamlin","Charlotte Motor Speedway","Coca-Cola 600",45
"491","Ty Gibbs","Charlotte Motor Speedway","Coca-Cola 600",45
"492","Chase Elliott","Charlotte Motor Speedway","Coca-Cola 600",38
"493","Ross Chastain","Charlotte Motor Speedway","Coca-Cola 600",34
"494","Alex Bowman","Charlotte Motor Speedway","Coca-Cola 600",43
"495","Josh Berry","Charlotte Motor Speedway","Coca-Cola 600",33
"496","Bubba Wallace","Charlotte Motor Speedway","Coca-Cola 600",39
"497","Martin Truex Jr.","Charlotte Motor Speedway","Coca-Cola 600",31
"498","Justin Allgaier","Charlotte Motor Speedway","Coca-Cola 600",0
"499","Joey Logano","Charlotte Motor Speedway","Coca-Cola 600",23
"500","Kyle Busch","Charlotte Motor Speedway","Coca-Cola 600",22
"501","Michael McDowell","Charlotte Motor Speedway","Coca-Cola 600",22
"502","Todd Gilliland","Charlotte Motor Speedway","Coca-Cola 600",20
"503","Daniel Hemric","Charlotte Motor Speedway","Coca-Cola 600",19
"504","Erik Jones","Charlotte Motor Speedway","Coca-Cola 600",18
"505","Austin Cindric","Charlotte Motor Speedway","Coca-Cola 600",17
"506","Carson Hocevar","Charlotte Motor Speedway","Coca-Cola 600",16
"507","Justin Haley","Charlotte Motor Speedway","Coca-Cola 600",15
"508","Chris Buescher","Charlotte Motor Speedway","Coca-Cola 600",14
"509","Daniel Suarez","Charlotte Motor Speedway","Coca-Cola 600",13
"510","Chase Briscoe","Charlotte Motor Speedway","Coca-Cola 600",12
"511","Ryan Preece","Charlotte Motor Speedway","Coca-Cola 600",11
"512","Austin Dillon","Charlotte Motor Speedway","Coca-Cola 600",10
"513","Shane van Gisbergen","Charlotte Motor Speedway","Coca-Cola 600",0
"514","Jimmie Johnson","Charlotte Motor Speedway","Coca-Cola 600",8
"515","John Hunter Nemechek","Charlotte Motor Speedway","Coca-Cola 600",7
"516","Ricky Stenhouse Jr.","Charlotte Motor Speedway","Coca-Cola 600",6
"517","Harrison Burton","Charlotte Motor Speedway","Coca-Cola 600",5
"518","Zane Smith","Charlotte Motor Speedway","Coca-Cola 600",4
"519","Kaz Grala","Charlotte Motor Speedway","Coca-Cola 600",3
"520","Corey LaJoie","Charlotte Motor Speedway","Coca-Cola 600",2
"521","Ty Dillon","Charlotte Motor Speedway","Coca-Cola 600",0
"522","B.J. McLeod","Charlotte Motor Speedway","Coca-Cola 600",0
"523","Noah Gragson","Charlotte Motor Speedway","Coca-Cola 600",1
"524","Ryan Blaney","Charlotte Motor Speedway","Coca-Cola 600",5
"525","J.J. Yeley","Charlotte Motor Speedway","Coca-Cola 600",0
"526","Austin Cindric","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",56
"527","Denny Hamlin","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",42
"528","Brad Keselowski","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",40
"529","Tyler Reddick","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",36
"530","Joey Logano","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",39
"531","Austin Dillon","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",33
"532","Christopher Bell","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",50
"533","Carson Hocevar","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",32
"534","Justin Haley","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",28
"535","Kyle Larson","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",27
"536","Ty Gibbs","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",30
"537","Ross Chastain","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",25
"538","Chase Elliott","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",32
"539","Chris Buescher","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",23
"540","William Byron","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",27
"541","Todd Gilliland","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",21
"542","Chase Briscoe","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",24
"543","Daniel Hemric","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",19
"544","Zane Smith","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",18
"545","Ricky Stenhouse Jr.","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",17
"546","Bubba Wallace","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",16
"547","Noah Gragson","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",15
"548","Daniel Suarez","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",14
"549","Ryan Blaney","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",29
"550","Michael McDowell","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",21
"551","Erik Jones","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",11
"552","John Hunter Nemechek","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",10
"553","Alex Bowman","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",9
"554","Ryan Preece","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",8
"555","Derek Kraus","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",7
"556","Harrison Burton","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",6
"557","Corey LaJoie","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",5
"558","Cody Ware","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",4
"559","Martin Truex Jr.","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",3
"560","Kyle Busch","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",2
"561","Josh Berry","World Wide Technology Raceway at Gateway","Enjoy Illinois 300",1
"562","Kyle Larson","Sonoma Raceway","Toyota/Save Mart 350",48
"563","Michael McDowell","Sonoma Raceway","Toyota/Save Mart 350",40
"564","Chris Buescher","Sonoma Raceway","Toyota/Save Mart 350",44
"565","Chase Elliott","Sonoma Raceway","Toyota/Save Mart 350",40
"566","Ross Chastain","Sonoma Raceway","Toyota/Save Mart 350",36
"567","A.J. Allmendinger","Sonoma Raceway","Toyota/Save Mart 350",0
"568","Ryan Blaney","Sonoma Raceway","Toyota/Save Mart 350",39
"569","Tyler Reddick","Sonoma Raceway","Toyota/Save Mart 350",39
"570","Christopher Bell","Sonoma Raceway","Toyota/Save Mart 350",28
"571","Todd Gilliland","Sonoma Raceway","Toyota/Save Mart 350",31
"572","Corey LaJoie","Sonoma Raceway","Toyota/Save Mart 350",28
"573","Kyle Busch","Sonoma Raceway","Toyota/Save Mart 350",32
"574","Brad Keselowski","Sonoma Raceway","Toyota/Save Mart 350",29
"575","Daniel Suarez","Sonoma Raceway","Toyota/Save Mart 350",26
"576","Alex Bowman","Sonoma Raceway","Toyota/Save Mart 350",28
"577","Zane Smith","Sonoma Raceway","Toyota/Save Mart 350",21
"578","Carson Hocevar","Sonoma Raceway","Toyota/Save Mart 350",20
"579","Ryan Preece","Sonoma Raceway","Toyota/Save Mart 350",28
"580","Erik Jones","Sonoma Raceway","Toyota/Save Mart 350",22
"581","Bubba Wallace","Sonoma Raceway","Toyota/Save Mart 350",17
"582","Joey Logano","Sonoma Raceway","Toyota/Save Mart 350",18
"583","Austin Cindric","Sonoma Raceway","Toyota/Save Mart 350",15
"584","Kaz Grala","Sonoma Raceway","Toyota/Save Mart 350",14
"585","Ricky Stenhouse Jr.","Sonoma Raceway","Toyota/Save Mart 350",13
"586","Harrison Burton","Sonoma Raceway","Toyota/Save Mart 350",13
"587","Noah Gragson","Sonoma Raceway","Toyota/Save Mart 350",11
"588","Martin Truex Jr.","Sonoma Raceway","Toyota/Save Mart 350",18
"589","Daniel Hemric","Sonoma Raceway","Toyota/Save Mart 350",9
"590","John Hunter Nemechek","Sonoma Raceway","Toyota/Save Mart 350",8
"591","William Byron","Sonoma Raceway","Toyota/Save Mart 350",7
"592","Will Brown","Sonoma Raceway","Toyota/Save Mart 350",6
"593","Josh Berry","Sonoma Raceway","Toyota/Save Mart 350",5
"594","Justin Haley","Sonoma Raceway","Toyota/Save Mart 350",4
"595","Chase Briscoe","Sonoma Raceway","Toyota/Save Mart 350",3
"596","Cam Waters","Sonoma Raceway","Toyota/Save Mart 350",2
"597","Austin Dillon","Sonoma Raceway","Toyota/Save Mart 350",1
"598","Ty Gibbs","Sonoma Raceway","Toyota/Save Mart 350",1
"599","Denny Hamlin","Sonoma Raceway","Toyota/Save Mart 350",1
"600","Ryan Blaney","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",57
"601","William Byron","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",42
"602","Chase Elliott","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",44
"603","Christopher Bell","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",33
"604","Ricky Stenhouse Jr.","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",32
"605","Joey Logano","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",36
"606","Josh Berry","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",45
"607","Alex Bowman","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",29
"608","Daniel Suarez","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",36
"609","Brad Keselowski","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",32
"610","Ross Chastain","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",26
"611","Todd Gilliland","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",28
"612","Justin Haley","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",25
"613","Carson Hocevar","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",23
"614","Martin Truex Jr.","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",22
"615","Noah Gragson","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",21
"616","Bubba Wallace","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",26
"617","Chris Buescher","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",23
"618","Austin Dillon","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",18
"619","Harrison Burton","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",17
"620","Corey LaJoie","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",20
"621","Tyler Reddick","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",15
"622","Michael McDowell","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",14
"623","Denny Hamlin","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",18
"624","Ty Gibbs","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",12
"625","John Hunter Nemechek","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",11
"626","Ryan Preece","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",10
"627","Chase Briscoe","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",9
"628","Daniel Hemric","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",8
"629","Austin Cindric","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",7
"630","Zane Smith","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",6
"631","Erik Jones","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",5
"632","Kaz Grala","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",4
"633","Kyle Larson","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",22
"634","Kyle Busch","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",3
"635","A.J. Allmendinger","Iowa Speedway","Iowa Corn 350 Powered by Ethanol",0
"636","Christopher Bell","New Hampshire Motor Speedway","USA TODAY 301",57
"637","Chase Briscoe","New Hampshire Motor Speedway","USA TODAY 301",35
"638","Josh Berry","New Hampshire Motor Speedway","USA TODAY 301",43
"639","Kyle Larson","New Hampshire Motor Speedway","USA TODAY 301",37
"640","Chris Buescher","New Hampshire Motor Speedway","USA TODAY 301",32
"641","Tyler Reddick","New Hampshire Motor Speedway","USA TODAY 301",33
"642","Ricky Stenhouse Jr.","New Hampshire Motor Speedway","USA TODAY 301",30
"643","John Hunter Nemechek","New Hampshire Motor Speedway","USA TODAY 301",29
"644","Martin Truex Jr.","New Hampshire Motor Speedway","USA TODAY 301",42
"645","Ross Chastain","New Hampshire Motor Speedway","USA TODAY 301",31
"646","Ryan Preece","New Hampshire Motor Speedway","USA TODAY 301",26
"647","Todd Gilliland","New Hampshire Motor Speedway","USA TODAY 301",30
"648","Erik Jones","New Hampshire Motor Speedway","USA TODAY 301",24
"649","Harrison Burton","New Hampshire Motor Speedway","USA TODAY 301",23
"650","Michael McDowell","New Hampshire Motor Speedway","USA TODAY 301",22
"651","Ty Gibbs","New Hampshire Motor Speedway","USA TODAY 301",21
"652","Carson Hocevar","New Hampshire Motor Speedway","USA TODAY 301",20
"653","Chase Elliott","New Hampshire Motor Speedway","USA TODAY 301",29
"654","Austin Cindric","New Hampshire Motor Speedway","USA TODAY 301",18
"655","Ty Dillon","New Hampshire Motor Speedway","USA TODAY 301",0
"656","Daniel Suarez","New Hampshire Motor Speedway","USA TODAY 301",16
"657","Kaz Grala","New Hampshire Motor Speedway","USA TODAY 301",15
"658","Corey LaJoie","New Hampshire Motor Speedway","USA TODAY 301",14
"659","Denny Hamlin","New Hampshire Motor Speedway","USA TODAY 301",27
"660","Ryan Blaney","New Hampshire Motor Speedway","USA TODAY 301",25
"661","William Byron","New Hampshire Motor Speedway","USA TODAY 301",11
"662","Noah Gragson","New Hampshire Motor Speedway","USA TODAY 301",10
"663","Brad Keselowski","New Hampshire Motor Speedway","USA TODAY 301",9
"664","Justin Haley","New Hampshire Motor Speedway","USA TODAY 301",8
"665","Zane Smith","New Hampshire Motor Speedway","USA TODAY 301",7
"666","Daniel Hemric","New Hampshire Motor Speedway","USA TODAY 301",6
"667","Joey Logano","New Hampshire Motor Speedway","USA TODAY 301",22
"668","Austin Dillon","New Hampshire Motor Speedway","USA TODAY 301",4
"669","Bubba Wallace","New Hampshire Motor Speedway","USA TODAY 301",3
"670","Kyle Busch","New Hampshire Motor Speedway","USA TODAY 301",2
"671","Alex Bowman","New Hampshire Motor Speedway","USA TODAY 301",2
"672","Joey Logano","Nashville Superspeedway","Ally 400",40
"673","Zane Smith","Nashville Superspeedway","Ally 400",35
"674","Tyler Reddick","Nashville Superspeedway","Ally 400",51
"675","Ryan Preece","Nashville Superspeedway","Ally 400",33
"676","Chris Buescher","Nashville Superspeedway","Ally 400",37
"677","Ryan Blaney","Nashville Superspeedway","Ally 400",34
"678","Bubba Wallace","Nashville Superspeedway","Ally 400",31
"679","Kyle Larson","Nashville Superspeedway","Ally 400",44
"680","Daniel Hemric","Nashville Superspeedway","Ally 400",28
"681","Noah Gragson","Nashville Superspeedway","Ally 400",28
"682","A.J. Allmendinger","Nashville Superspeedway","Ally 400",0
"683","Denny Hamlin","Nashville Superspeedway","Ally 400",41
"684","Justin Haley","Nashville Superspeedway","Ally 400",24
"685","Alex Bowman","Nashville Superspeedway","Ally 400",23
"686","Austin Cindric","Nashville Superspeedway","Ally 400",22
"687","Carson Hocevar","Nashville Superspeedway","Ally 400",21
"688","Todd Gilliland","Nashville Superspeedway","Ally 400",20
"689","Chase Elliott","Nashville Superspeedway","Ally 400",24
"690","William Byron","Nashville Superspeedway","Ally 400",22
"691","Corey LaJoie","Nashville Superspeedway","Ally 400",17
"692","Chase Briscoe","Nashville Superspeedway","Ally 400",16
"693","Daniel Suarez","Nashville Superspeedway","Ally 400",15
"694","Ty Gibbs","Nashville Superspeedway","Ally 400",19
"695","Martin Truex Jr.","Nashville Superspeedway","Ally 400",19
"696","Brad Keselowski","Nashville Superspeedway","Ally 400",24
"697","Josh Berry","Nashville Superspeedway","Ally 400",11
"698","Kyle Busch","Nashville Superspeedway","Ally 400",10
"699","Harrison Burton","Nashville Superspeedway","Ally 400",9
"700","Corey Heim","Nashville Superspeedway","Ally 400",0
"701","Ricky Stenhouse Jr.","Nashville Superspeedway","Ally 400",7
"702","John Hunter Nemechek","Nashville Superspeedway","Ally 400",6
"703","Austin Dillon","Nashville Superspeedway","Ally 400",5
"704","Ross Chastain","Nashville Superspeedway","Ally 400",4
"705","Erik Jones","Nashville Superspeedway","Ally 400",3
"706","Michael McDowell","Nashville Superspeedway","Ally 400",2
"707","Christopher Bell","Nashville Superspeedway","Ally 400",21
"708","Riley Herbst","Nashville Superspeedway","Ally 400",0
"709","Chad Finchum","Nashville Superspeedway","Ally 400",0
"710","Alex Bowman","Chicago Street Course","Grant Park 165",54
"711","Tyler Reddick","Chicago Street Course","Grant Park 165",37
"712","Ty Gibbs","Chicago Street Course","Grant Park 165",42
"713","Joey Hand","Chicago Street Course","Grant Park 165",43
"714","Michael McDowell","Chicago Street Course","Grant Park 165",32
"715","Ricky Stenhouse Jr.","Chicago Street Course","Grant Park 165",34
"716","Todd Gilliland","Chicago Street Course","Grant Park 165",33
"717","William Byron","Chicago Street Course","Grant Park 165",29
"718","Kyle Busch","Chicago Street Course","Grant Park 165",28
"719","Ryan Blaney","Chicago Street Course","Grant Park 165",27
"720","Daniel Suarez","Chicago Street Course","Grant Park 165",27
"721","Daniel Hemric","Chicago Street Course","Grant Park 165",29
"722","Bubba Wallace","Chicago Street Course","Grant Park 165",28
"723","Noah Gragson","Chicago Street Course","Grant Park 165",28
"724","Austin Cindric","Chicago Street Course","Grant Park 165",22
"725","Justin Haley","Chicago Street Course","Grant Park 165",21
"726","Zane Smith","Chicago Street Course","Grant Park 165",20
"727","Brad Keselowski","Chicago Street Course","Grant Park 165",27
"728","Austin Dillon","Chicago Street Course","Grant Park 165",18
"729","Chris Buescher","Chicago Street Course","Grant Park 165",17
"730","Chase Elliott","Chicago Street Course","Grant Park 165",16
"731","Ross Chastain","Chicago Street Course","Grant Park 165",15
"732","Joey Logano","Chicago Street Course","Grant Park 165",14
"733","Carson Hocevar","Chicago Street Course","Grant Park 165",20
"734","Harrison Burton","Chicago Street Course","Grant Park 165",14
"735","Kaz Grala","Chicago Street Course","Grant Park 165",11
"736","Corey LaJoie","Chicago Street Course","Grant Park 165",10
"737","Josh Bilicki","Chicago Street Course","Grant Park 165",0
"738","Erik Jones","Chicago Street Course","Grant Park 165",8
"739","Denny Hamlin","Chicago Street Course","Grant Park 165",8
"740","Austin Hill","Chicago Street Course","Grant Park 165",0
"741","Chase Briscoe","Chicago Street Course","Grant Park 165",12
"742","Martin Truex Jr.","Chicago Street Course","Grant Park 165",10
"743","Ryan Preece","Chicago Street Course","Grant Park 165",3
"744","John Hunter Nemechek","Chicago Street Course","Grant Park 165",2
"745","Josh Berry","Chicago Street Course","Grant Park 165",1
"746","Christopher Bell","Chicago Street Course","Grant Park 165",10
"747","A.J. Allmendinger","Chicago Street Course","Grant Park 165",0
"748","Kyle Larson","Chicago Street Course","Grant Park 165",7
"749","Shane van Gisbergen","Chicago Street Course","Grant Park 165",0
"750","Ryan Blaney","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",40
"751","Denny Hamlin","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",54
"752","Alex Bowman","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",43
"753","William Byron","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",47
"754","Joey Logano","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",38
"755","Tyler Reddick","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",40
"756","Brad Keselowski","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",41
"757","Martin Truex Jr.","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",39
"758","Chase Elliott","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",43
"759","Bubba Wallace","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",27
"760","Chris Buescher","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",26
"761","Christopher Bell","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",30
"762","Kyle Larson","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",29
"763","Erik Jones","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",30
"764","Chase Briscoe","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",22
"765","Daniel Suarez","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",21
"766","Carson Hocevar","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",20
"767","Austin Cindric","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",19
"768","Corey LaJoie","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",18
"769","Josh Berry","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",17
"770","A.J. Allmendinger","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",0
"771","Justin Haley","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",15
"772","Austin Dillon","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",14
"773","Michael McDowell","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",13
"774","Daniel Hemric","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",12
"775","Cody Ware","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",11
"776","Ty Gibbs","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",10
"777","John Hunter Nemechek","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",9
"778","Zane Smith","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",8
"779","Ryan Preece","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",7
"780","Harrison Burton","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",6
"781","Kyle Busch","Pocono Raceway","The Great American Getaway 400 Presented by VISITPA.com",5
